date,ticker,permno,prc,vol,ret
2020-12-14,INTC,59328,50.47,33392365.0,0.01488
2020-12-15,INTC,59328,50.665,25439958.0,0.003864
2020-12-16,INTC,59328,51.12,28255586.0,0.008981
2020-12-17,INTC,59328,50.65,26359163.0,-0.009194
2020-12-18,INTC,59328,47.46,119113368.0,-0.062981
2020-12-21,INTC,59328,46.36,53674899.0,-0.023177
2020-12-22,INTC,59328,46.17,32118132.0,-0.004098
2020-12-23,INTC,59328,46.57,22493891.0,0.008664
2020-12-24,INTC,59328,47.07,11851577.0,0.010737
2020-12-28,INTC,59328,47.07,21230841.0,0.0
2020-12-29,INTC,59328,49.39,84659866.0,0.049288
2020-12-30,INTC,59328,48.75,37331296.0,-0.012958
2020-12-31,INTC,59328,49.82,28533901.0,0.021949
2021-01-04,INTC,59328,49.67,46043414.0,-0.003011
2021-01-05,INTC,59328,50.61,24829407.0,0.018925
2021-01-06,INTC,59328,51.1,36731724.0,0.009682
2021-01-07,INTC,59328,52.19,32032627.0,0.021331
2021-01-08,INTC,59328,51.65,34537143.0,-0.010347
2021-01-11,INTC,59328,51.54,32883135.0,-0.00213
2021-01-12,INTC,59328,53.24,39748097.0,0.032984
2021-01-13,INTC,59328,56.95,123656573.0,0.069684
2021-01-14,INTC,59328,59.25,74507410.0,0.040386
2021-01-15,INTC,59328,57.58,50108168.0,-0.028186
2021-01-19,INTC,59328,57.99,35521807.0,0.007121
2021-01-20,INTC,59328,58.67,28650744.0,0.011726
2021-01-21,INTC,59328,62.46,86884266.0,0.064599
2021-01-22,INTC,59328,56.66,85392250.0,-0.092859
2021-01-25,INTC,59328,55.44,61781178.0,-0.021532
2021-01-26,INTC,59328,55.21,31373972.0,-0.004149
2021-01-27,INTC,59328,53.59,49565793.0,-0.029343
2021-01-28,INTC,59328,56.065,48924859.0,0.046184
2021-01-29,INTC,59328,55.51,37146156.0,-0.009899
2021-02-01,INTC,59328,56.69,26806821.0,0.021257
2021-02-02,INTC,59328,58.0,23447899.0,0.023108
2021-02-03,INTC,59328,57.68,21822269.0,-0.005517
2021-02-04,INTC,59328,58.79,29744035.0,0.025269
2021-02-05,INTC,59328,58.18,23341165.0,-0.010376
2021-02-08,INTC,59328,59.16,34286236.0,0.016844
2021-02-09,INTC,59328,58.78,28666700.0,-0.006423
2021-02-10,INTC,59328,58.86,16540187.0,0.001361
2021-02-11,INTC,59328,60.66,27469292.0,0.030581
2021-02-12,INTC,59328,61.81,26162621.0,0.018958
2021-02-16,INTC,59328,62.47,26248122.0,0.010678
2021-02-17,INTC,59328,61.85,21006829.0,-0.009925
2021-02-18,INTC,59328,61.61,17863936.0,-0.00388
2021-02-19,INTC,59328,63.01,28173362.0,0.022724
2021-02-22,INTC,59328,60.71,32231615.0,-0.036502
2021-02-23,INTC,59328,61.12,27292193.0,0.006753
2021-02-24,INTC,59328,63.19,24614322.0,0.033868
2021-02-25,INTC,59328,60.4,36305407.0,-0.044153
2021-02-26,INTC,59328,60.78,38094109.0,0.006291
2021-03-01,INTC,59328,62.88,28433549.0,0.034551
2021-03-02,INTC,59328,61.24,23271717.0,-0.026081
2021-03-03,INTC,59328,59.9,28636773.0,-0.021881
2021-03-04,INTC,59328,58.33,40156393.0,-0.02621
2021-03-05,INTC,59328,60.74,39418052.0,0.041317
2021-03-08,INTC,59328,59.85,33062003.0,-0.014653
2021-03-09,INTC,59328,62.67,36341244.0,0.047118
2021-03-10,INTC,59328,62.25,27109481.0,-0.006702
2021-03-11,INTC,59328,63.31,30633783.0,0.017028
2021-03-12,INTC,59328,62.9,20089900.0,-0.006476
2021-03-15,INTC,59328,63.79,21221365.0,0.014149
2021-03-16,INTC,59328,64.78,30133644.0,0.01552
2021-03-17,INTC,59328,65.78,32287376.0,0.015437
2021-03-18,INTC,59328,63.725,29986722.0,-0.031241
