date,ticker,permno,prc,vol,ret
2020-12-14,NVDA,86580,532.34998,6735867.0,0.022708
2020-12-15,NVDA,86580,534.41998,4823677.0,0.003888
2020-12-16,NVDA,86580,529.70001,5568982.0,-0.008832
2020-12-17,NVDA,86580,533.65002,5752565.0,0.007457
2020-12-18,NVDA,86580,530.88,8537571.0,-0.005191
2020-12-21,NVDA,86580,533.28998,7524545.0,0.00454
2020-12-22,NVDA,86580,531.13,4638107.0,-0.00405
2020-12-23,NVDA,86580,520.37,4464108.0,-0.020259
2020-12-24,NVDA,86580,519.75,2437904.0,-0.001191
2020-12-28,NVDA,86580,516.0,5309761.0,-0.007215
2020-12-29,NVDA,86580,517.72998,4248884.0,0.003353
2020-12-30,NVDA,86580,525.83002,5607488.0,0.015645
2020-12-31,NVDA,86580,522.20001,4795259.0,-0.006903
2021-01-04,NVDA,86580,524.53998,13974054.0,0.004481
2021-01-05,NVDA,86580,536.19,8052844.0,0.02221
2021-01-06,NVDA,86580,504.57999,14480507.0,-0.058953
2021-01-07,NVDA,86580,533.76001,11524058.0,0.05783
2021-01-08,NVDA,86580,531.07001,7280313.0,-0.00504
2021-01-11,NVDA,86580,544.85999,12955854.0,0.025966
2021-01-12,NVDA,86580,539.39001,7259268.0,-0.010039
2021-01-13,NVDA,86580,541.27002,5240714.0,0.003485
2021-01-14,NVDA,86580,528.01001,7038473.0,-0.024498
2021-01-15,NVDA,86580,514.38,6878442.0,-0.025814
2021-01-19,NVDA,86580,521.01001,5638798.0,0.012889
2021-01-20,NVDA,86580,534.63,6426371.0,0.026142
2021-01-21,NVDA,86580,554.70001,8447797.0,0.03754
2021-01-22,NVDA,86580,548.5,6148664.0,-0.011177
2021-01-25,NVDA,86580,546.13,6242149.0,-0.004321
2021-01-26,NVDA,86580,537.40997,4088902.0,-0.015967
2021-01-27,NVDA,86580,516.71002,9172906.0,-0.038518
2021-01-28,NVDA,86580,522.03998,5668869.0,0.010315
2021-01-29,NVDA,86580,519.59003,6738479.0,-0.004693
2021-02-01,NVDA,86580,529.47998,5424799.0,0.019034
2021-02-02,NVDA,86580,542.27002,5498807.0,0.024156
2021-02-03,NVDA,86580,541.21997,6183400.0,-0.001936
2021-02-04,NVDA,86580,546.57001,4989198.0,0.009885
2021-02-05,NVDA,86580,543.64001,4215891.0,-0.005361
2021-02-08,NVDA,86580,577.54999,10824408.0,0.062376
2021-02-09,NVDA,86580,570.53003,7156910.0,-0.012155
2021-02-10,NVDA,86580,590.57001,12082346.0,0.035125
